epoch,endogeq_1,total_loss
0,41.240089416503906,41.240089416503906
100,0.34020042419433594,0.34020042419433594
200,0.10035586357116699,0.10035586357116699
300,0.0074964906089007854,0.0074964906089007854
400,3.39163925673347e-05,3.39163925673347e-05
500,2.6905016056844033e-05,2.6905016056844033e-05
600,2.43137837969698e-05,2.43137837969698e-05
700,2.1718245989177376e-05,2.1718245989177376e-05
800,1.9182711184839718e-05,1.9182711184839718e-05
900,1.6757867342676036e-05,1.6757867342676036e-05
1000,1.448416333005298e-05,1.448416333005298e-05
1100,1.2393725228321273e-05,1.2393725228321273e-05
1200,1.050467835739255e-05,1.050467835739255e-05
1300,8.829195394355338e-06,8.829195394355338e-06
1400,7.369258128164802e-06,7.369258128164802e-06
1500,6.119520548963919e-06,6.119520548963919e-06
1600,5.070271981821861e-06,5.070271981821861e-06
1700,4.204575816402212e-06,4.204575816402212e-06
1800,3.5044497508351924e-06,3.5044497508351924e-06
1900,2.949117742900853e-06,2.949117742900853e-06
